Sample Number,Follow Number,Date_Collected,Who_Collected,Time_Collected,Orangutan_ID,First_Urine_Day,Dirt_Fecal,CAMP/LAB_specgravitymeter,Site,Species,Age_Class,Creatinine_Result,CV,Status
458,5709,26-Aug-13,Idun,5:27:00 AM,Mindy,TRUE,FALSE,1.055,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.986,3.2,ok
459,5716,29-Aug-13,Idun,5:32:00 AM,Mindy,TRUE,TRUE,1.033,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.286428571,2.559875743,ok
460,5718,30-Aug-13,Suwi,5:47:00 AM,Mindy,TRUE,TRUE,1.040,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.529571429,2.364287173,ok
461,5720,31-Aug-13,Paige,5:45:00 AM,Mawas,FALSE,TRUE,1.020,Tuanan,Pongo pygmaeus wurmbii,dependent immature non-clinging infant (4yrs-weaned),1.289,1,ok
462,5719,31-Aug-13,Abuk,8:10:00 AM,Mindy,FALSE,TRUE,1.048,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.529,3.8,ok
463,5724,01-Sep-13,Abuk,5:24:00 AM,Jinak,TRUE,FALSE,1.039,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.7152777778,0.091534858,ok
464,5722,31-Aug-13,Anna,8:11:00 AM,Joya,FALSE,FALSE,1.037,Tuanan,Pongo pygmaeus wurmbii,dependent immature - clinging infant (0-4yrs),,,
465,5725,02-Sep-13,Suwi,5:06:00 AM,Jinak,TRUE,TRUE,1.038,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.359714286,0.861781746,ok
466,5730,04-Sep-13,Kumpo,5:42:00 AM,Henk,TRUE,FALSE,1.048,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,1.324,2.4100,ok
467,5731,05-Sep-13,Paige,4:58:00 PM,Henk,TRUE,FALSE,1.046,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,2.077,7.3501,ok
468,5732,06-Sep-13,Wendy,4:50:00 AM,Henk,TRUE,FALSE,1.037,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,1.452,4.0840,ok
