sample_number,follow_number,Date_Collected,Orangutan_ID,Time_Collected,First_Urine_Day,Site,Age_Class,Analysis_Date,Creatinine_Result,CV,SGmeter,Sex,Habitat_Wide,HI_Low_FAI_Quartiles,SG-1,Cr/(SG-1)
784,6801,27-Jan-15,Cinta,5:41:00 AM,TRUE,Tuanan,adult female no dependent,04-Feb-17,0.653,10,1.035,Female,5.391,High,0.035,18.65714286
1142,7832,27-Apr-16,Danum,5:42:00 AM,TRUE,Tuanan,dependent immature - clinging infant (0-4yrs),17-Jun-19,0.456,1.7,1.03,Male,1.17959304,Low,0.03,15.2
1204,8020,08-Jun-16,Danum,4:59:00 AM,FALSE,Tuanan,dependent immature non-clinging infant (4yrs-weaned),14-Jun-19,0.548,7.7,1.026,Male,0.623515439,Low,0.026,21.07692308
1280,8196,29-Jul-16,Dayak,5:47:00 AM,FALSE,Tuanan,adult flanged male,18-Jul-19,0.339,0.3,1.016,Male,0.269784173,Low,0.016,21.1875
1423,8923,16-May-17,Dayak,5:21:00 AM,TRUE,Tuanan,adult flanged male,03-Apr-20,0.39,0.4,1.008,Male,2.866831073,Low,0.008,48.75
792,6841,14-Feb-15,Dayak,5:42:00 AM,TRUE,Tuanan,adult flanged male,04-Feb-17,0.991,0.4,1.038,Male,4.366,High,0.038,26.07894737
796,6847,17-Feb-15,Dayak,4:54:00 AM,TRUE,Tuanan,adult flanged male,04-Feb-17,0.511,0.5,1.027,Male,4.366,High,0.027,18.92592593
642,6391,13-Jul-14,Dayak,,TRUE,Tuanan,adult flanged male,20-May-15,0.982,0.7,1.023,Male,3.427540589,Low,0.023,42.69565217
1445,,31-May-17,Dayak,5:50:00 AM,FALSE,Tuanan,adult flanged male,03-Apr-20,0.289,0.8,1.011,Male,2.866831073,Low,0.011,26.27272727
1470,9026,09-Jul-17,Dayak,5:50:00 AM,TRUE,Tuanan,adult flanged male,08-Apr-20,0.457,0.9,1.032,Male,3.214731586,Low,0.032,14.28125
628,6325,23-Jun-14,Dayak,5:57:00 AM,TRUE,Tuanan,adult flanged male,20-May-15,0.454,1,1.013,Male,3.126879134,Low,0.013,34.92307692
1285,8207,01-Aug-16,Dayak,5:28:00 AM,TRUE,Tuanan,adult flanged male,18-Jul-19,0.229,1.1,1.022,Male,0.478755236,Low,0.022,10.40909091
1442,8955,25-May-17,Dayak,5:48:00 AM,FALSE,Tuanan,adult flanged male,03-Apr-20,0.425,1.1,1.009,Male,2.866831073,Low,0.009,47.22222222
590,6249,21-May-14,Dayak,4:50:00 AM,TRUE,Tuanan,adult flanged male,20-May-15,0.54,1.1,1.026,Male,2.699460108,Low,0.026,20.76923077
588,6245,20-May-14,Dayak,5:39:00 AM,TRUE,Tuanan,adult flanged male,20-May-15,0.549,1.2,1.024,Male,2.699460108,Low,0.024,22.875
1281,8197,30-Jul-16,Dayak,4:48:00 AM,TRUE,Tuanan,adult flanged male,18-Jul-19,0.771,1.2,1.026,Male,0.269784173,Low,0.026,29.65384615
1292,8217,04-Aug-16,Dayak,5:48:00 AM,TRUE,Tuanan,adult flanged male,18-Jul-19,0.416,1.3,1.016,Male,0.478755236,Low,0.016,26
641,6388,12-Jul-14,Dayak,6:35:00 AM,FALSE,Tuanan,adult flanged male,20-May-15,1.27,1.3,1.048,Male,3.427540589,Low,0.048,26.45833333
865,7059,14-May-15,Dayak,5:42:00 AM,FALSE,Tuanan,adult flanged male,04-Sep-19,0.423,1.4,1.014,Male,1.951,Low,0.014,30.21428571
1418,8911,12-May-17,Dayak,5:21:00 AM,TRUE,Tuanan,adult flanged male,24-Mar-20,0.61,1.4,1.011,Male,2.866831073,Low,0.011,55.45454545
852,7034,06-May-15,Dayak,4:25:00 AM,TRUE,Tuanan,adult flanged male,04-Sep-19,0.7,1.4,1.034,Male,1.951,Low,0.034,20.58823529
1447,,01-Jun-17,Dayak,5:27:00 AM,TRUE,Tuanan,adult flanged male,03-Apr-20,0.809,1.4,1.024,Male,2.717726992,Low,0.024,33.70833333
863,7054,13-May-15,Dayak,5:16:00 AM,TRUE,Tuanan,adult flanged male,04-Sep-19,0.527,1.5,1.01,Male,1.951,Low,0.01,52.7
1468,9023,06-Jul-17,Dayak,5:46:00 AM,FALSE,Tuanan,adult flanged male,08-Apr-20,0.242,1.6,1.016,Male,3.214731586,Low,0.016,15.125
591,6253,22-May-14,Dayak,5:10:00 AM,TRUE,Tuanan,adult flanged male,20-May-15,0.669,1.7,1.029,Male,2.699460108,Low,0.029,23.06896552
627,6327,25-Jun-14,Dayak,5:40:00 AM,TRUE,Tuanan,adult flanged male,20-May-15,1.045,1.7,1.038,Male,3.126879134,Low,0.038,27.5
1444,8959,20-May-17,Dayak,11:29:00 AM,FALSE,Tuanan,adult flanged male,03-Apr-20,0.556,1.8,1.018,Male,2.866831073,Low,0.018,30.88888889
493,5821,21-Oct-13,Dayak,5:16:00 AM,TRUE,Tuanan,adult flanged male,18-Mar-15,0.585,1.8,1.005,Male,4.17,High,0.005,117
846,7024,04-May-15,Dayak,6:54:00 AM,FALSE,Tuanan,adult flanged male,30-Aug-19,0.21,1.9,1.003,Male,1.951,Low,0.003,70
1289,8210,02-Aug-16,Dayak,7:40:00 AM,TRUE,Tuanan,adult flanged male,18-Jul-19,0.527,2.2,1.024,Male,0.478755236,Low,0.024,21.95833333
1386,8827,01-Apr-17,Dayak,5:12:00 AM,TRUE,Tuanan,adult flanged male,17-Mar-20,0.375,2.3,1.007,Male,1.416256158,Low,0.007,53.57142857
1522,9168,13-Sep-17,Dayak,9:24:00 AM,FALSE,Tuanan,adult flanged male,10-Apr-20,0.759,2.3,1.024,Male,3.320012296,Low,0.024,31.625
1471,9028,11-Jul-17,Dayak,12:32:00 PM,FALSE,Tuanan,adult flanged male,08-Apr-20,0.244,2.4,1.016,Male,3.214731586,Low,0.016,15.25
1291,8215,03-Aug-16,Dayak,5:53:00 AM,TRUE,Tuanan,adult flanged male,18-Jul-19,0.093,2.5,1.013,Male,0.478755236,Low,0.013,7.153846154
