Sample Number,Follow Number,Date_Collected,Who_Collected,Time_Collected,Orangutan_ID,Cold_Thermos,Comments,Dirt_Fecal,First_Urine_Day,CAMP/LAB_specgravitymeter,Site,Month Collection,Year Collection,Age_Class,8OHdG_Result,tblAnalysis_8-OHdG.CV,tblAnalysis_8-OHdG.Status,TAC_Result,tblAnalysis_TAC.CV,tblAnalysis_TAC.Status,Neopterin_Result,tblAnalysis_Neopterin.CV,tblAnalysis_Neopterin.Status,Cortisol_Result,tblAnalysis_Cortisol.CV,tblAnalysis_Cortisol.Status,G-CSF_Result,tblAnalysis_G-CSF.CV,tblAnalysis_G-CSF.Status,IL-10_Result,tblAnalysis_IL-10.CV,tblAnalysis_IL-10.Status,IL-1RA_Result,tblAnalysis_IL-1RA.CV,tblAnalysis_IL-1RA.Status,IL-8_Result,tblAnalysis_IL-8.CV,tblAnalysis_IL-8.Status,MLP-1_Result,tblAnalysis_MCP-1.CV,tblAnalysis_MCP-1.Status,TNF_alpha_Result,tblAnalysis_TNF-alpha.CV,tblAnalysis_TNF-alpha.Status
652,6411,17-Jul-14,Abuk,6:38:00 AM,Jinak,TRUE,bilirubin in forest was normal,FALSE,FALSE,1.042,Tuanan,7,2014,adult female with dependent,,,,,,,355.45,1.8,ok,,,,,,,,,,,,,,,,,,,,,
651,6409,17-Jul-14,Rahmatd,8:38:00 AM,Sidony,TRUE,her child is Sony; biliruben in camp was orange,FALSE,TRUE,1.023,Tuanan,7,2014,adult female with dependent,14.219,1.3,ok,,,,1925.948,5.9,ok,,,,75.64,6.91,ok,5.47,2.97,ok,86.75,0.99,ok,2581,0.39,ok,243.04,3.54,ok,243.04,3.54,ok
650,6406,16-Jul-14,Julia,5:28:00 AM,Jinak,TRUE,there were leaves in the sample; urinated inside the nest; glucose in forest is negative; urobilinogen in camp is negative and orange; ketones in camp are brown; biliruben in camp is orange,TRUE,TRUE,1.033,Tuanan,7,2014,adult female with dependent,19.473,5.9,ok,,,,986.523,9.3,ok,137426,9.5,ok,,,,,,,,,,,,,,,,,,
649,6405,16-Jul-14,Alysse,2:08:00 PM,Sidony,TRUE,Sony is her child,FALSE,FALSE,1.020,Tuanan,7,2014,adult female with dependent,,,,,,,1679.114,1.8,ok,,,,40.16,3.14,ok,10.22,5.11,ok,28.01,1.64,ok,554.14,2.94,ok,188.12,1.15,ok,188.12,1.15,ok
648,6405,16-Jul-14,Alysse,10:14:00 AM,Sidony,TRUE,her child is Sony; no paper for slide sheet number,FALSE,FALSE,1.022,Tuanan,7,2014,adult female with dependent,,,,3.976,2,ok,1455.233,15.2,ok,RANGE,range,rerun,37.78,2.22,ok,27.22,1.13,ok,13.11,1.32,ok,1329,0.21,ok,342.25,0.85,ok,342.25,0.85,ok
494,5835,26-Oct-13,Paige,4:55:00 AM,Milo,TRUE,,TRUE,TRUE,1.030,Tuanan,10,2013,independent immature (older juvs),,,,,,,,,,,,,0,3.63%,ok,,,,,,,,,,,,,,,
495,5835,26-Oct-13,Paige,1:30:00 PM,Milo,TRUE,,FALSE,FALSE,,,10,2013,independent immature (older juvs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,5839,27-Oct-13,Idun,11:29:00 AM,Ted,FALSE,Ted is the name of the orangutan; we ran out of data sheets I copied this from looking at what was done - he didn't tell me till later he didn't have a data sheet,FALSE,FALSE,1.067,Tuanan,10,2013,adult unflanged male,36.401,0.4,ok,12.061,2.4,ok,485.105,5.2,ok,45302.39,3.5,ok,53.56,19,ok,13.08,3.14,ok,0,7.44,ok,0,18.45,,16.66,3.04,ok,0,4.88,ok
497,5842,28-Oct-13,Abuk,4:50:00 AM,Milo,TRUE,,TRUE,TRUE,1.020,Tuanan,10,2013,adult female no dependent,11.521,1,ok,,,,916.286,7,ok,14656.288,7.4,ok,29.6,3.72,ok,0,2.48,ok,1.59,4.16,ok,0,0.98,ok,16.7,0.19,ok,1.44,8.32,ok
498,N/A,30-Oct-13,Paige,5:20:00 AM,Ekko,TRUE,not in follow database,TRUE,TRUE,1.037,Tuanan,10,2013,adult unflanged male,37.21,3.4,ok,,,,234.883,8.7,ok,,,,17.27,10.42,ok,0,7.71,ok,2.83,9.78,ok,0,6.73,ok,28.14,2.32,ok,0,0,ok
499,5850,30-Oct-13,Paige,6:15:00 AM,Cinta,TRUE,,FALSE,TRUE,1.051,Tuanan,10,2013,adult female no dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,5856,01-Nov-13,Abuk,7:59:00 AM,Kondor,TRUE,her children are Kondor and Kahiyu; the urine in the forest was purple; the urine in camp was black,TRUE,FALSE,1.062,Tuanan,11,2013,adult female with dependent,,,,,,,388.562,4.9,ok,4172.636,13.6,ok,21.23,8.76,ok,16.74,15.71,,0,13.94,ok,1.47,13.8,ok,3.06,5.89,ok,0,9.43,ok
485,5789,04-Oct-13,Anna,7:16:00 AM,Juni,FALSE,third urine of the day,TRUE,FALSE,1.002,Tuanan,10,2013,adult female with dependent,,,,,,,584.318,5.5,ok,16078.982,6.2,ok,0,0,ok,13.08,0,ok,0,7.86,ok,2.67,4.77%,ok,0,0,ok,5.74,0,ok
486,5796,07-Oct-13,Abuk,4:52:00 AM,Juni,TRUE,"her children are Juni, Jip, and Jane",FALSE,TRUE,1.021,Tuanan,10,2013,adult female with dependent,9.296,2,ok,,,,176.085,13.7,ok,33347.888,5.7,ok,7.52,0%,ok,4,16.97%,ok,0,0%,ok,0.23,3.45%,ok,9.53,0.82%,ok,0.71,0%,ok
487,5801,09-Oct-13,Idun,4:54:00 AM,Rex,TRUE,"the ketones in camp were pinkish brown, not exact same color as positive color given but definitely more than negative",TRUE,TRUE,1.010,Tuanan,10,2013,adult flanged male,,,,,,,,,,433145,1.2,ok,,,,,,,,,,,,,,,,,,
488,5808,11-Oct-13,Abuk,11:43:00 AM,Unknown flanged male,TRUE,"orangutan is BG750; second urine of the day; the urine is so dark that I can't distinguish if there is additional color or not - even looking at the ""composition area""",TRUE,FALSE,1.002,Tuanan,10,2013,adult flanged male,,,,,,,,,,,,,25.12,22.67,rerun,0,20.87,,0,0,ok,0,6.15,ok,49.77,7.91,ok,1.94,15.71,
489,5809,12-Oct-13,Paige,1:19:00 PM,Ekko,FALSE,urine color in the forest was reddish yellow,TRUE,FALSE,1.002,Tuanan,10,2013,adult unflanged male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,5811,14-Oct-13,Paige,7:33:00 AM,Ekko,TRUE,the urine color in the forest was reddish yellow,TRUE,FALSE,1.061,Tuanan,10,2013,adult unflanged male,,,,,,,,,,,,,0,0%,ok,5.23,5.24%,ok,0,0%,ok,0,7.86%,ok,34,5.91%,ok,0.71,0%,ok
491,5812,15-Oct-13,Paige,7:44:00 AM,Ekko,TRUE,"information from the camp: these vary from earlier, not sure if its just because the urine is so dark or what - don't leave enough to do another chemstrip",FALSE,FALSE,1.005,Tuanan,10,2013,adult unflanged male,,,,,,,,,,112502.7533,15.2758194164058,ok,14.95,12.3%,ok,7.83,8.32%,ok,0,6.15%,ok,0.83,15.71%,ok,0,7.44%,ok,0,0%,ok
492,5817,19-Oct-13,Pak Rahmad,12:36:00 PM,Inul,FALSE,her child is Ipsy,TRUE,FALSE,1.002,Tuanan,10,2013,adult female with dependent,,,,,,,,,,80098.32701,107.608918051133,rerun,0,5.24,ok,56.48,5.71,ok,0,3.82,ok,4.65,3.66,ok,2.29,5.81,ok,1,0,ok
493,5821,21-Oct-13,Idun,5:16:00 AM,Dayak,TRUE,,FALSE,TRUE,1.005,Tuanan,10,2013,adult flanged male,12.454,9.8,ok,,,,317.672,3.1,ok,181047.1,10.5,ok,13.69,1.79,ok,0,16.23,,0,4.29,ok,0,10.88,ok,51.14,17.7,,0,9.43,ok
473,5740,12-Sep-13,Abuk,5:28:00 AM,Sidony,TRUE,her children are Sidony and Sony,FALSE,TRUE,1.051,Tuanan,9,2013,adult female with dependent,39.355,6.5,ok,,,,2643.904,0.9,ok,37408.633,11,ok,20.67,10.48%,ok,13.49,0%,ok,0.34,0%,ok,1.49,6.43%,ok,54.17,4.6%,ok,7.66,6.15%,ok
474,5742,13-Sep-13,Paige,5:18:00 AM,Sidony,TRUE,her child is Sony,TRUE,TRUE,1.056,Tuanan,9,2013,adult female with dependent,95.124,2.8,ok,,,,3549.49,10.1,ok,312781.0,4.2,ok,0,0%,ok,0,13.69%,ok,3.53,0%,ok,12.6,4.53%,ok,18.11,0.67%,ok,0,0%,ok
475,5746,14-Sep-13,Abuk,5:48:00 AM,Chaz,TRUE,her children are Sidony and Sony,TRUE,TRUE,1.021,Tuanan,9,2013,adult flanged male,30.806,5.3,ok,,,,587.371,1.7,ok,61822.594,7.5,ok,6.32,8.32%,ok,30.51,2.18%,ok,1.8,0%,ok,4.23,1.63%,ok,4.33,0%,ok,0,3.45%,ok
476,5747,15-Sep-13,Idun,9:28:00 AM,Sidony,TRUE,"has a child in the mother; nitrite in camp was brownish pink; biliruben in camp is either negative or positive, dark color of urine in males is hard to tell; her child is Sony",FALSE,FALSE,1.002,Tuanan,9,2013,adult female with dependent,,,,,,,,,,,,,86.82,1.05%,ok,62.03,13.4%,ok,0,0%,ok,1.145,8.32%,ok,1.81,8.84%,ok,0,1.79%,ok
477,5750,16-Sep-13,Abuk,5:56:00 AM,Sidony,TRUE,her child is Sony,TRUE,TRUE,1.031,Tuanan,9,2013,adult female with dependent,22.378,5.6,ok,,,,431.489,4.3,ok,56984.329,1.3,ok,29.14,0%,ok,0,4.29%,ok,0.51,0%,ok,7.04,7.64%,ok,14.16,1.84%,ok,0,7.07%,ok
478,5753,18-Sep-13,Idun,5:31:00 AM,Sidony,TRUE,son in the mother,FALSE,TRUE,1.023,Tuanan,9,2013,adult female with dependent,15.279,4.5,ok,,,,296.353,1.2,ok,58046.90113,2.02375100957567,ok,6.32,0%,ok,0,0%,ok,0,0%,ok,0.37,0%,ok,11.63,2.32%,ok,0,0%,ok
479,5755,19-Sep-13,Abuk,5:35:00 AM,Sidony,TRUE,her child is Sony,FALSE,TRUE,1.030,Tuanan,9,2013,adult female with dependent,14.753,6.1,ok,,,,784.713,3.7,ok,58860.842,3.2,ok,37,6.9%,ok,79.68,3.14%,ok,67.9,8.32%,ok,4.67,1.32%,ok,12.13,4.42%,ok,30.83,34.14%,rerun
480,5756,19-Sep-13,Idun,9:13:00 AM,Unknown flanged male,FALSE,second urine of the day; didn't realize until it was too late that we didn't do a chem strip,FALSE,FALSE,1.050,Tuanan,9,2013,adult flanged male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,5758,20-Sep-13,Paige,5:24:00 AM,Sidony,TRUE,her child is Sony; the urine in camp was pink/brown/yellow; ketones in forest and camp were peachy brown; biliruben in forest was a little darker than negative but doesn't quite match other colors,FALSE,TRUE,1.024,Tuanan,9,2013,adult female with dependent,17.239,0.7,ok,,,,345.785,4.8,ok,71633,0,ok,116.76,9.43%,ok,76.18,3.89%,ok,0.45,9.43%,ok,4.29,4.29%,ok,28.46,14.61%,ok,0,0%,ok
482,5770,26-Sep-13,Idun,5:24:00 AM,Gismo,TRUE,,TRUE,TRUE,1.043,Tuanan,9,2013,adult unflanged male,,,,,,,,,,108770.9907,74.4994232647765,ok,4.14,6.73,ok,11.625,2.24,ok,4.22,13.2,ok,0.35,5.66,ok,22.4,5.86,ok,1.94,0,ok
483,5777,29-Sep-13,Abuk,4:52:00 AM,Juni,TRUE,her children are  Jip and Jane,TRUE,TRUE,1.042,Tuanan,9,2013,adult female with dependent,40.125,1.4,ok,,,,186.263,9.5,ok,99339,2,ok,66.46,5.37%,ok,0,2.4,ok,1.12,2.77,ok,11.365,0.82,ok,139.82,7.28,ok,1.94,0,ok
584,6233,16-May-14,Paige,4:55:00 AM,Juni,TRUE,"her child is Juni; Juni's follow number was 5779, no data for Jip from that day",TRUE,TRUE,1.016,Tuanan,5,2014,adult female with dependent,4.112,14.2,ok,,,,143.138,4.6,ok,18506.41,4.3,ok,,,,,,,,,,,,,,,,,,
501,5861,03-Nov-13,Idun,6:04:00 AM,Vini,TRUE,this orangutan is Vini,FALSE,FALSE,1.020,Tuanan,11,2013,adult unflanged male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,5988,11-Jan-14,Abuk,5:26:00 AM,Jinak,TRUE,her child is Joya,FALSE,TRUE,1.032,Tuanan,1,2014,adult female with dependent,28.672,2.9,ok,,,,648.394,4.1,ok,38882.601,2.3,ok,7.83,14.14%,ok,3.55,12.86%,ok,0,7.44%,ok,3.26,6.96%,ok,21.14,7.6%,ok,0,0%,ok
518,6000,16-Jan-14,Idun,1:43:00 PM,Kondor,TRUE,her child is Kahiyu; the PKY box is tu13,FALSE,FALSE,1.056,Tuanan,1,2014,adult female with dependent,,,,,,,755.452,13.4,ok,374.692,0,rerun,2.46,0%,ok,188.05,11.9%,ok,0,0%,ok,10.66,1.99%,ok,0.76,0%,ok,0,0%,ok
519,6004,12-Jan-14,Anna,9:03:00 AM,Kondor,FALSE,her child is Kahiyu; the urine color in camp was orange; the PKY box number was tu13,FALSE,FALSE,1.040,Tuanan,1,2014,adult female with dependent,,,,,,,75.887,0,ok,606.668,4.2,ok,0,0%,ok,67.29,2.05%,ok,0,0%,ok,2.74,6.37%,ok,0,0%,ok,0,0%,ok
520,6009,20-Jan-14,Idun,5:45:00 AM,Niko,TRUE,the PKY box number was tu13,FALSE,TRUE,1.088,Tuanan,1,2014,adult flanged male,,,,,,,,,,34771.574,7,ok,4.33,0%,ok,0.57,0%,ok,0.9,3.29%,ok,1.31,0%,ok,13.12,2.77%,ok,0,10.88%,ok
521,6008,20-Jan-14,Suwi,6:19:00 AM,Kondor,TRUE,the PKY box number is tu13; second urine of the day,TRUE,FALSE,1.013,Tuanan,1,2014,adult female with dependent,,,,,,,348.845,3,ok,1150.211,9.3,ok,4.33,0%,ok,35.23,3.14%,ok,0,0%,ok,1.58,3.29%,ok,0.94,9.43%,ok,0,0%,ok
522,6013,22-Jan-14,Idun,5:54:00 AM,Tomi,TRUE,the PKY box number is tu13,FALSE,TRUE,1.023,Tuanan,1,2014,adult flanged male,14.428,0.4,ok,,,,982.016,10.1,ok,RANGE,range,rerun,8.68,6.73%,ok,24.41,11.47%,ok,97.37,2.28%,ok,0,0%,ok,7.72,2.48%,ok,0,0%,ok
523,6030,14-Feb-14,Abuk,7:50:00 AM,Inul,TRUE,her children are Ipsy and Irma; the PKY box number was tu13,FALSE,TRUE,1.039,Tuanan,2,2014,adult female with dependent,29.531,1.4,ok,,,,3282.514,0.6,ok,,,,28.87,3.01%,ok,4.28,15.71%,ok,3.71,0%,ok,130.3,1.36%,ok,31.94,2.6%,ok,0,0%,ok
524,6051,09-Mar-14,Wendy,5:31:00 AM,Wodan,TRUE,"there was some leaf litter in the urine, poop in plastic but not in urine; the PKY box number is tu13",TRUE,TRUE,1.004,Tuanan,3,2014,adult flanged male,0.468,43.6,rerun,,,,134.574,3,ok,25464,3,ok,9.51,0%,ok,2.08,6.73%,ok,0,7.44%,ok,1.05,3.82%,ok,0.94,9.43%,ok,0,0%,ok
525,6054,12-Mar-14,Idun,8:17:00 AM,Tomi,TRUE,the urine color in the camp was orange; the PKY box number is tu13,FALSE,FALSE,1.008,,3,2014,adult flanged male,,,,,,,,,,17722,2.3,ok,,,,,,,,,,,,,,,,,,
526,6055,13-Mar-14,Abuk,9:23:00 AM,Tomi,TRUE,third urine of the day; the PKY box number is tu14,FALSE,FALSE,1.012,Tuanan,3,2014,adult flanged male,,,,,,,,,,21425,9.4,ok,10.34,30.74%,ok,0.57,0%,ok,0,0%,ok,0,0%,ok,32.82,1.88%,ok,0,0%,ok
527,6057,14-Mar-14,Abuk,5:18:00 AM,Tomi,TRUE,the PKY box number is tu14,FALSE,TRUE,1.019,Tuanan,3,2014,adult flanged male,8.571,9.5,ok,,,,86.223,2.4,ok,36065,4.4,ok,9.51,12.86%,ok,6.43,0%,ok,0,0%,ok,0,0%,ok,21.87,17.09%,ok,0,10.88%,ok
